id,tool_name,source_path,domain,subdomain,description,deps_pypi,imports_unknown,tags,content_hash
DOC.PDF.002_pdfplumber_demo,sm0l_pdfplumber_demo,pdfplumber_demo.py,DOC,PDF,Run pdfplumber_demo.py,pdfplumber,__future__,__future__ pathlib pdf pdfplumber,9df4e6fed42f
MISC.MISC.073_pendulum_demo,sm0l_pendulum_demo,pendulum_demo.py,MISC,MISC,Run pendulum_demo.py,pendulum,__future__,__future__ pendulum,9143c30ad613
MISC.MISC.074_pendulum_example,sm0l_pendulum_example,pendulum_example.py,MISC,MISC,!/usr/bin/env python3,pendulum,,pendulum,2b43b08e970b
MISC.MISC.075_pillow_demo,sm0l_pillow_demo,pillow_demo.py,MISC,MISC,Run pillow_demo.py,Pillow,__future__,__future__ io pil,4fe6bc409712
WEB.BROWSER.001_playwright_demo,sm0l_playwright_demo,playwright_demo.py,WEB,BROWSER,Run playwright_demo.py,playwright,__future__,__future__ browser playwright,62a104e3696a
VIZ.PLOTS.007_plotext_demo,sm0l_plotext_demo,plotext_demo.py,VIZ,PLOTS,Run plotext_demo.py,,__future__ plotext,__future__ plot plotext,6a16d76bc15c
DATA.DF.004_polars_demo,sm0l_polars_demo,polars_demo.py,DATA,DF,polars quick dataframe demo,polars,,polars,08d03e484b95
AUTO.WORKFLOW.004_prefect_demo,sm0l_prefect_demo,prefect_demo.py,AUTO,WORKFLOW,Run prefect_demo.py,prefect,__future__,__future__ prefect,b77f5b45e6f2
AUTO.WORKFLOW.005_prefect_flow_demo,sm0l_prefect_flow_demo,prefect_flow_demo.py,AUTO,WORKFLOW,prefect 2/3 minimal flow demo,prefect,,prefect,36b235024a30
SYS.MON.003_process_monitor,sm0l_process_monitor,process_monitor.py,SYS,MON,!/usr/bin/env python3,psutil,,argparse psutil subprocess time,4e003d23fcee
SYS.MON.004_psutil_demo,sm0l_psutil_demo,psutil_demo.py,SYS,MON,psutil quick system stats,psutil,,psutil system,f8ca9b7be7cd
MISC.MISC.076_pydantic_demo,sm0l_pydantic_demo,pydantic_demo.py,MISC,MISC,Run pydantic_demo.py,pydantic,__future__,__future__ pydantic,917ac663d6f1
MISC.MISC.077_pydub_example,sm0l_pydub_example,pydub_example.py,MISC,MISC,!/usr/bin/env python3,pydub,,pydub,64bb196858c6
VIZ.PLOTS.008_pyecharts_demo,sm0l_pyecharts_demo,pyecharts_demo.py,VIZ,PLOTS,Run pyecharts_demo.py,pyecharts,__future__,__future__ chart pyecharts,20316372a3c6
MISC.MISC.078_pyinputplus_demo,sm0l_pyinputplus_demo,pyinputplus_demo.py,MISC,MISC,Run pyinputplus_demo.py,,__future__ pyinputplus,__future__ pyinputplus,87b9c3b63592
DOC.PDF.003_pymupdf_demo,sm0l_pymupdf_demo,pymupdf_demo.py,DOC,PDF,Run pymupdf_demo.py,PyMuPDF,__future__,__future__ fitz pathlib pdf,4e9f199497fb
DOC.PDF.004_pypdf2_demo,sm0l_pypdf2_demo,pypdf2_demo.py,DOC,PDF,PyPDF2 create + read,,PyPDF2,pathlib pdf pypdf2 tempfile,453bc0fe7b15
DOC.PDF.005_pypdf2_example,sm0l_pypdf2_example,pypdf2_example.py,DOC,PDF,!/usr/bin/env python3,,PyPDF2,pdf pypdf2,0552e09c8133
WEB.BROWSER.002_pyppeteer_demo,sm0l_pyppeteer_demo,pyppeteer_demo.py,WEB,BROWSER,pyppeteer minimal headless launch,pyppeteer,,asyncio pyppeteer,4b4ecff3e7aa
MISC.MISC.079_pytesseract_demo,sm0l_pytesseract_demo,pytesseract_demo.py,MISC,MISC,Run pytesseract_demo.py,Pillow pytesseract,__future__,__future__ pil pytesseract,3cc136642fbe
DATA.DF.005_arrow_demo,sm0l_arrow_demo,python_library_demos_sm0l/arrow_demo.py,DATA,DF,Run arrow_demo.py,arrow,__future__,__future__ arrow,a50a314ab09b
MISC.MISC.080_benedict_demo,sm0l_benedict_demo,python_library_demos_sm0l/benedict_demo.py,MISC,MISC,Run benedict_demo.py,,__future__ benedict,__future__ benedict,87ed657eaf5f
WEB.SCRAPE.005_bs4_demo,sm0l_bs4_demo,python_library_demos_sm0l/bs4_demo.py,WEB,SCRAPE,Run bs4_demo.py,beautifulsoup4,__future__,__future__ bs4,428c94b7821d
MISC.MISC.081_cutecharts_demo,sm0l_cutecharts_demo,python_library_demos_sm0l/cutecharts_demo.py,MISC,MISC,Run cutecharts_demo.py,,__future__ cutecharts,__future__ chart cutecharts,7eb150c70df0
MISC.MISC.082_dataclasses_demo,sm0l_dataclasses_demo,python_library_demos_sm0l/dataclasses_demo.py,MISC,MISC,Run dataclasses_demo.py,,__future__,__future__,eb477f8ce8ee
VIZ.PLOTS.009_datashader_demo,sm0l_datashader_demo,python_library_demos_sm0l/datashader_demo.py,VIZ,PLOTS,Run datashader_demo.py,datashader numpy pandas,__future__,__future__ datashader numpy pandas,bbdb4b63730f
MISC.MISC.083_dynaconf_demo,sm0l_dynaconf_demo,python_library_demos_sm0l/dynaconf_demo.py,MISC,MISC,Run dynaconf_demo.py,,__future__ dynaconf,__future__ dynaconf tempfile textwrap,4f349c673ea5
MISC.MISC.084_faker_demo,sm0l_faker_demo,python_library_demos_sm0l/faker_demo.py,MISC,MISC,Run faker_demo.py,Faker,__future__,__future__ faker,da0a692932de
WEB.API.004_fastapi_demo,sm0l_fastapi_demo,python_library_demos_sm0l/fastapi_demo.py,WEB,API,Run fastapi_demo.py,fastapi,__future__,__future__ api fastapi,322426cefc4e
WEB.API.005_flask_demo,sm0l_flask_demo,python_library_demos_sm0l/flask_demo.py,WEB,API,Run flask_demo.py,Flask,__future__,__future__ api flask,85d20b3c7616
MISC.MISC.085_fuzzywuzzy_demo,sm0l_fuzzywuzzy_demo,python_library_demos_sm0l/fuzzywuzzy_demo.py,MISC,MISC,Run fuzzywuzzy_demo.py,,__future__ fuzzywuzzy,__future__ fuzzywuzzy,51f27284e2a7
MISC.MISC.086_gradio_demo,sm0l_gradio_demo,python_library_demos_sm0l/gradio_demo.py,MISC,MISC,Run gradio_demo.py,gradio,__future__,__future__ gradio,c8acf1abcaca
VIZ.PLOTS.010_holoviews_demo,sm0l_holoviews_demo,python_library_demos_sm0l/holoviews_demo.py,VIZ,PLOTS,Run holoviews_demo.py,holoviews,__future__,__future__ holoviews,c6ceb8167226
WEB.HTTP.009_httpx_demo,sm0l_httpx_demo,python_library_demos_sm0l/httpx_demo.py,WEB,HTTP,Run httpx_demo.py,httpx,__future__,__future__ httpx,e36d55190135
MISC.MISC.087_humanize_demo,sm0l_humanize_demo,python_library_demos_sm0l/humanize_demo.py,MISC,MISC,Run humanize_demo.py,,__future__ humanize,__future__ datetime humanize,2dbfc71278ff
MISC.MISC.088_icecream_demo,sm0l_icecream_demo,python_library_demos_sm0l/icecream_demo.py,MISC,MISC,Run icecream_demo.py,,__future__ icecream,__future__ icecream,6eb768d0be81
MISC.MISC.089_lightningchart_demo,sm0l_lightningchart_demo,python_library_demos_sm0l/lightningchart_demo.py,MISC,MISC,Run lightningchart_demo.py,,__future__ lightningchart,__future__ chart lightningchart,708464b7f315
MISC.MISC.090_logging_demo,sm0l_logging_demo,python_library_demos_sm0l/logging_demo.py,MISC,MISC,Run logging_demo.py,,__future__,__future__ logging,981efabf58f3
MISC.MISC.091_loguru_demo,sm0l_loguru_demo,python_library_demos_sm0l/loguru_demo.py,MISC,MISC,Run loguru_demo.py,loguru,__future__,__future__ loguru,0be654ef0d70
MISC.MISC.092_openai_demo,sm0l_openai_demo,python_library_demos_sm0l/openai_demo.py,MISC,MISC,Run openai_demo.py,openai,__future__,__future__ openai,cfc430b33891
MISC.MISC.093_orjson_demo,sm0l_orjson_demo,python_library_demos_sm0l/orjson_demo.py,MISC,MISC,Run orjson_demo.py,orjson,__future__,__future__ orjson,13d639f3ebce
DATA.DF.006_pandas_demo,sm0l_pandas_demo,python_library_demos_sm0l/pandas_demo.py,DATA,DF,Run pandas_demo.py,pandas,__future__,__future__ pandas,193cb8449814
DOC.PDF.006_pdfplumber_demo,sm0l_pdfplumber_demo,python_library_demos_sm0l/pdfplumber_demo.py,DOC,PDF,Run pdfplumber_demo.py,pdfplumber,__future__,__future__ pathlib pdf pdfplumber,9df4e6fed42f
MISC.MISC.094_pendulum_demo,sm0l_pendulum_demo,python_library_demos_sm0l/pendulum_demo.py,MISC,MISC,Run pendulum_demo.py,pendulum,__future__,__future__ pendulum,9143c30ad613
MISC.MISC.095_pillow_demo,sm0l_pillow_demo,python_library_demos_sm0l/pillow_demo.py,MISC,MISC,Run pillow_demo.py,Pillow,__future__,__future__ io pil,4fe6bc409712
WEB.BROWSER.003_playwright_demo,sm0l_playwright_demo,python_library_demos_sm0l/playwright_demo.py,WEB,BROWSER,Run playwright_demo.py,playwright,__future__,__future__ browser playwright,62a104e3696a
